bit_id,effect,support,log_odds,fragment_smiles
579,-0.7953635880041419,286,0.8790729106728055,CCCF
628,-0.7391121847923277,1338,1.5687219622587643,ccc(cc)OC
414,-0.708962130004609,1455,-0.3930848872982824,CO[SiH]
402,-0.6906886579847713,207,1.0716851085391461,CN(C)C(=O)O
1360,-0.6851817243551055,525,1.1550705262486565,CCCC(C)(C)O
867,-0.6461740477742857,162,0.824250130036007,CN=C(OC)N(C)C
706,-0.6458502888404374,330,0.42233185792573824,CC(C)O
1767,-0.6399110071355141,150,1.8595305202504946,c[N+](C)(C)C
1316,-0.6001172505052577,166,1.9605867784527362,COCC[N+]
1022,-0.5883303950319458,549,0.28957805268105297,cc(c)C(OC)(OC)OC
648,-0.5879191576495608,237,0.6878966518245573,CC(C)C(C(=O)O)N(C)C
375,-0.5737652492717982,277,1.0738729855169638,CCOC(c)(O)O
1954,-0.5668227308852196,285,0.6891120680417657,cccc(c)C
565,-0.5640642118448256,228,-0.26227537667327994,ccc(OC)c(c)N
550,-0.5591888835868728,568,0.7742270222294536,C#CC
426,-0.5469193323512875,1107,0.39594747545496434,ccc(cn)C(N)=O
159,-0.5438686044796832,327,1.5332793316699806,ccc(cc)C(O)(O)O
1942,-0.5401071525956491,411,0.44114772660010804,cC(O)(O)O
1689,-0.53987095281979,713,1.1052462236068612,CC(C)N
913,-0.5347582724939932,1440,0.5763307955346568,CC[N+]
1263,-0.5186490340416385,288,-0.38695884870249486,NC(=O)O
1829,-0.5096876623722832,245,0.37586222074313813,CC(=O)O
174,-0.5056194853101441,214,1.1052510160483129,CC(c)CN(C)C
1278,-0.4959475595701692,186,0.25264292156349555,CC(C)C
1462,-0.49056482615117014,116,1.6036976564737087,cc(C)c(O)c(c)C
1131,-0.4814209972094623,141,0.38866342626344075,c[nH]ncn
603,-0.46952565006381053,407,1.0523141245178698,CC(C)(C)N
1525,-0.46322306262061574,411,0.9051401455385824,CCCl
1239,-0.46245416453451504,758,1.870519553435881,ccc(c(c)c)n(c)C
1534,-0.45878128571693577,422,0.6749350621319232,CCOC(C)=O
478,-0.45861534921540015,580,0.476430265614745,C=C(c)c(cc)c(c)C
1293,-0.44408942023097975,272,1.347320652819624,cSCC(C)O
47,-0.4422800194609935,211,-0.25132833250692865,nc(N)nc(n)Cl
1552,-0.44066807495717275,321,0.8104316219317234,CC(C)N
423,-0.4392924027049483,262,0.4446637552039139,C=C(C)O
451,-0.4389642042270818,273,0.6452114277326171,cc(C)s
109,-0.4387440191994607,250,0.026014170842208806,CCCC(C)(C)c
1173,-0.4377349405701525,201,0.17239548986953235,CCN(C)C(C)C
519,-0.4356636255282409,674,-0.1937605391335726,CC(C)C
1988,-0.43155010066465804,281,0.8611398846640572,ccc(cc)OC
425,-0.4292401980478888,699,0.6029943741063031,CC(C)CC(C)N
553,-0.4284035596231164,163,0.5360644061003992,C=C(O)C(=O)N(c)C
1694,-0.42279717631006397,219,0.8357561532287194,CC=CC(=O)O
1222,-0.4206206753110766,172,0.361082462717107,CNC(C)C(N)=O
1743,-0.4201081599162859,229,1.5839920971361883,CC(C)CCN
1881,-0.41906853139970157,216,0.24646015982238545,cc(N)c(c(c)=O)c(c)c
813,-0.4187705838461453,376,0.2590380446370899,c-n([n+])n
1345,-0.41721526580241397,210,-1.011552747406192,CNC(=S)N(C)C
68,-0.4163099960307195,196,0.7232244375685752,cc(s)C(O)(CC)CC
604,-0.41161847142903274,191,0.9904904435000725,cnc(c(c)s)n(c)C
976,-0.41094493506775653,466,0.8971394297549589,CC(=O)O
228,-0.4102492765868626,224,0.6304597252408506,ccc(c(c)C)C(C)(c)O
764,-0.40725949526347205,262,0.7899394177151935,cc(c)[nH]c(c)c
1580,-0.40688997303975083,260,1.3017725982414845,ccc([Se]c)c(c)C
920,-0.4066698471854078,222,0.8495506058215181,cC(=N)CC(C)O
1193,-0.4065398717823543,348,1.0785011879306365,cC(C)(C)C
634,-0.40464822224507935,373,0.5482364176068346,CCCN(C)C
312,-0.4043693679359628,223,0.6259031492308349,CCOC(C)=O
528,-0.39766935834011163,524,0.6018132410919925,CC(C)C
36,-0.39737681653629275,169,0.15421792027914005,CC(C)CC(=O)O
1492,-0.393498157324049,270,-0.24811652504870807,cCOP(=O)(O)S
651,-0.3883406141235404,144,0.4100807033316771,ccc(cc)C(S)S
141,-0.38652284592153796,139,0.6696075189408743,ccc(SC)c(c)C
1292,-0.3854427391264297,2515,0.21570826117916386,CCC
663,-0.3829193582929391,238,1.6227336085563424,CCCC(C)C
70,-0.3817074646975067,744,0.6050701180475819,CC(=O)O
137,-0.3809581160647755,119,-0.01635947225351586,cCCC(C)(C)O
1532,-0.38040533155541145,307,0.764962185690151,C=CC(=O)O
1189,-0.3800930280047561,314,0.3711838535805567,ccc(c(c)C)c(c)n
194,-0.3775341041130873,273,-0.07365205605746983,cccc(c)C
52,-0.37695040416922,216,-0.3191512740152458,CP(O)(O)=S
1965,-0.37401810330298035,222,1.5527975134800185,CC(O)CN(C)C
1126,-0.37378191025469953,1510,-0.12415657532647417,COC
1811,-0.3713321097078639,273,0.3490146669333525,CCn
1720,-0.37024579068355634,176,0.19591670226815516,CCN=C(C)N
1415,-0.3678518232067616,404,0.5217964440745027,CC(C)C[N+](C)(C)C
1048,-0.3601780192346895,290,0.706856458484979,CCNC(N)=S
29,-0.36004937995621056,702,1.6079608232868088,CC(C)C
740,-0.35978125288309615,200,-0.8410673106365678,C=Cc(cc)c(c)N
370,-0.359136014091741,307,0.46960557404360426,CC(C)=O
866,-0.3582123997321589,231,0.4745498597900717,CC1CN1C(N)=O
1412,-0.35763111770805867,241,-0.7543719320765101,C=C(C)C(=O)NC
1477,-0.356565086542701,312,-0.4764418169429705,CC(C)CC(c)C
1630,-0.3564213924469952,703,1.3178143350351545,cc(c)C(OC)C(C)N
1721,-0.3559606730126115,341,0.3471710337917635,cC(C)O
225,-0.3557237878671755,195,1.011410161504183,CC(=O)NCN
733,-0.3542129518352113,278,0.03655100782516296,CC(CN)C(c)(c)O
962,-0.3540066157902728,439,0.7154478749241031,CCOC(C)(C)C
1483,-0.35161880488266384,192,1.40697306405628,ccc(CC)c(c)O
1275,-0.35081208140256415,234,0.06757074685069142,CN(C)C(=O)C(C)(C)C
353,-0.3500727058578319,308,0.24210267392489015,CCCSC
78,-0.3487625030761696,182,0.41878354892770897,cc(c)C(C=N)(CC)C(C)C
1154,-0.34847151271399524,1481,-0.08038279686227146,CO
1271,-0.34629901534851015,139,0.3741276528487347,cn(C)c(cn)[N+](=O)[O-]
495,-0.3457533609545249,361,0.21686866938851246,ccc(cc)C(C)O
529,-0.3455644026177771,347,-0.46567960011204956,CCCC(C)C
682,-0.3425832975460892,317,0.2718546112865097,CC(C)(C)O
1599,-0.3418014729502441,2069,0.9003516781813352,cc(c)OC
593,-0.34008865221974194,199,0.32191407328043287,C=CCN(C)C
505,-0.33886202071642124,190,0.2744685246383103,cc(s)C(C#N)(CC)C(C)C
1228,-0.33742883029547643,298,-0.4119961915177983,C=CC
53,-0.33675264124268445,179,0.9249930723151909,cc(c)CCN
943,-0.3366097239219501,203,-0.07992852961272678,CN
522,-0.33610062698004195,246,0.7258298417724083,ccc(CN)c(c)O
148,-0.3342935227903545,173,-0.46054294088436354,cCCC(C)=O
153,-0.3302871085890613,185,-0.052733321464293326,cc(C)ncs
221,-0.3298864843607594,606,0.5218266250389911,CC(C)C(=O)N(C)c
463,-0.3295497743892821,1102,0.4608075053034475,CS
1509,-0.32756071733779324,477,-0.07892580242980696,CC(O)O
1473,-0.3274622196133694,458,0.5527297460511287,C=NCCO
583,-0.3272566278945195,227,0.1589428548488483,cc(C)c(OC)c(c)O
1933,-0.32591306955275723,125,-0.7034248781342907,cc(=O)n(C(C)=O)n(c)C
303,-0.3250836299546762,166,-0.16535186398173085,CCN(C)C
931,-0.3247156252852783,820,1.7667131228436297,CC[N+]
1739,-0.3240130133133028,217,0.5981231024675857,cc(c)N(C)c(n)n
1325,-0.3238847990391922,6388,0.6771668971606413,CCC
595,-0.32374615858905575,208,0.20763668817244874,CC(C)=CC[N+]
1832,-0.3235245535652309,687,1.429770069474766,cOCCN
679,-0.32130647172566484,1505,0.17606702726780865,CCC
1979,-0.3204462017870593,194,0.13587798966720666,CCOC(N)=O
1839,-0.3189160270068927,470,1.9000595601731787,csc(c(c)C)-n(c)c
1705,-0.31882468709343437,171,0.8788367628392662,CC(C)N
1095,-0.3161786448357897,335,-0.22710122661681886,cc(C)cc(c)N
1850,-0.315201954863894,134,0.10556830626720792,ccc(cc)c(c)[n+]
918,-0.3142993724003109,292,-0.7915325675129141,C=CC
2022,-0.31401838051659015,748,1.1544564862664402,CN(C)C
1543,-0.31350566635663735,270,-0.5171693900003973,CC(=O)N(C(N)=O)C(C)C
1628,-0.3102765823192426,265,0.6148489251886797,CCN(C)C(C)C
1837,-0.30996629138741905,102,-0.1751930882605377,CC(O)C(O)C(C)O
1597,-0.3099017935116697,811,0.5265652144848234,cccc(c)C
585,-0.3070283924327697,733,0.6521727924771712,CC(C)C
1471,-0.3052784883829851,360,0.5117918385340641,ccc(c(c)C)C(c)C
1162,-0.3049175036986138,2449,0.030182626029707116,CCC
1908,-0.3031464761919138,1185,0.6112421436592972,CO
57,-0.3029714835346491,302,0.45274748014355914,cc(C)c(nn)NC
973,-0.3018072612414444,392,0.14171401298146602,CCC(C)CC
1980,-0.3017912299288479,1606,0.12910682727515566,cccc(c)C
925,-0.30087998311395303,167,0.14197985728373208,ccc(cc)-c(c)n
2040,-0.3001309696587857,102,-0.1751930882605377,COC(C(C)O)C(C)(C)O
1020,-0.299874099069086,204,0.048554620651678704,CCCC(c)N
435,-0.29986857303906245,217,1.5299103832191907,NC(N)=O
1502,-0.29942930662304157,280,-0.20987472582236144,CSS
169,-0.29743929936087743,352,0.48869635887228036,CNCC(C)O
1886,-0.29710965483234486,278,0.5054025260257609,cc(C)cc(c)O
1633,-0.29549454057877833,232,0.478966895320184,cc(C)c(O)c(c)C
674,-0.2942593161753053,1964,0.9352046517721795,CCC(Cc)NC
587,-0.29414052182176675,405,0.33591381704926615,NCC(O)CN
166,-0.29405778232340807,208,-0.05463122701095635,cccoc
1776,-0.29370715851269313,202,-0.6303065572761968,NS(=O)(=O)O
10,-0.29364693551847143,217,1.1193015122986614,COC(OC)C(C)O
1196,-0.2935279960110293,789,1.1121514581769176,CN(C)CCO
722,-0.2923944783815777,660,-0.11441087508919434,CC(C)O
668,-0.29156702450778926,155,0.779648623633804,CNC=O
704,-0.2910530351152312,222,0.6213259123091914,cc(c)C(=S)NC
832,-0.2900654234200395,734,0.27720325229422915,CCC
919,-0.2900446317305825,116,-0.6685562100098519,cc(n)CCN
1116,-0.2888979986867437,272,0.11349713473046297,CN(c)c
